"candidate0","candidate1","candidate2","conversation","instanceId"
"I am glad that I was of help.","Hehe, I like to sleep in too.","Slightly above average.","<html><body><div><strong>ADVISOR: </strong><span>Hello Mingyang! Are you doing well?</span></div><div><strong>STUDENT: </strong><span>Hi advisor. I'm doing alright. I would like some advice on which courses to take next semester.</span></div><div><strong>STUDENT: </strong><span>My interested area is Software Development and Intelligent system.</span></div><div><strong>ADVISOR: </strong><span>you have three choices namely, EECS481 Software Engineering, EECS492 Introduction to Artificial Intelligence, and EECS381 Object Oriented and Advanced Programming.</span></div><div><strong>STUDENT: </strong><span>how many difficulty levels do these classes have?</span></div><div><strong>ADVISOR: </strong><span>EECS381 is not easy</span></div><div><strong>ADVISOR: </strong><span>any thoughts about that?</span></div><div><strong>STUDENT: </strong><span>What time does the course occur? I like afternoon classes and will find something else if it's scheduled too early.</span></div><div><strong>ADVISOR: </strong><span>EECS351 is after lunch. The others are before. EECS481 is from nine to ten thirty and EECS492 is from ten thirty to twelve.</span></div><div><strong>ADVISOR: </strong><span>481 is the early morning and is quite similar to EECS381, so you might want to skip it.</span></div><div><strong>ADVISOR: </strong><span>How about EECS494 Computer Game Design and Development? It's after lunch and is what you're interested in. It's also hard enough for you.</span></div><div><strong>STUDENT: </strong><span>Can another interesting course be recommended by you that is in the afternoon and has a high clarity.</span></div><div><strong>STUDENT: </strong><span>It shounds like a good match. What is the clarity level? Will the professors be able to make their lectures easy to be understood?</span></div><div><strong>ADVISOR: </strong><span>A high clarity rating is EECS494 as well.</span></div><div><strong>STUDENT: </strong><span>Great, that's so awesome.</span></div><div><strong>STUDENT: </strong><span>That's all I have to ask. Many thanks for your suggestions.</span></div></body></html>","935124695-867993169-337348926-972057484"
"EECS381 is in the afternoon. The other two are in the morning.EECS481 is from 9:00 to 10:30, and EECS492 is from 10:30 to 12:00.","Are you behind at all in getting to graduate?","No problem!","<html><body><div><strong>ADVISOR: </strong><span>Hello Mingyang! Are you doing well?</span></div><div><strong>STUDENT: </strong><span>Hi advisor. I'm doing alright. I would like some advice on which courses to take next semester.</span></div><div><strong>STUDENT: </strong><span>My interested area is Software Development and Intelligent system.</span></div><div><strong>ADVISOR: </strong><span>you have three choices namely, EECS481 Software Engineering, EECS492 Introduction to Artificial Intelligence, and EECS381 Object Oriented and Advanced Programming.</span></div><div><strong>STUDENT: </strong><span>how many difficulty levels do these classes have?</span></div><div><strong>ADVISOR: </strong><span>EECS381 is not easy</span></div><div><strong>ADVISOR: </strong><span>any thoughts about that?</span></div><div><strong>STUDENT: </strong><span>What time does the course occur? I like afternoon classes and will find something else if it's scheduled too early.</span></div></body></html>","267073806-256807839-926594012-234044713"
"EECS492 and EECS481 are rated as medium, but EECS381 is rated as very hard.","Software engineering and Web design are a couple options if you need suggestions.","I noticed you have not taken the core CS classes yet.","<html><body><div><strong>ADVISOR: </strong><span>Hello Mingyang! Are you doing well?</span></div><div><strong>STUDENT: </strong><span>Hi advisor. I'm doing alright. I would like some advice on which courses to take next semester.</span></div><div><strong>STUDENT: </strong><span>My interested area is Software Development and Intelligent system.</span></div><div><strong>ADVISOR: </strong><span>you have three choices namely, EECS481 Software Engineering, EECS492 Introduction to Artificial Intelligence, and EECS381 Object Oriented and Advanced Programming.</span></div><div><strong>STUDENT: </strong><span>how many difficulty levels do these classes have?</span></div></body></html>","480540185-793118053-460517879-689199467"
"OK, are there any requirements remaining?","2.23 is how easy the rating is","Was there anything else?","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div></body></html>","701384316-660033767-140817426-984904624"
"These algorithms are basic ones for programming.","Have you taken EECS 281?","Are you interested in any other fields?","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div><div><strong>ADVISOR: </strong><span>As for requirements, do you have any left?</span></div><div><strong>STUDENT: </strong><span>Not to my knowledge.</span></div><div><strong>ADVISOR: </strong><span>Do you have a precise preference as to course selection?</span></div><div><strong>STUDENT: </strong><span>I do prefer classes with a lighter work load</span></div><div><strong>ADVISOR: </strong><span>What do you think about EECS183, Elementary Programming Concepts?</span></div><div><strong>ADVISOR: </strong><span>The class is entry level.</span></div><div><strong>STUDENT: </strong><span>Sounds like it is not very hard for students without much programming background.</span></div><div><strong>STUDENT: </strong><span>What other classes do I have to take first?</span></div><div><strong>ADVISOR: </strong><span>Do you possess basic knowledge about selection and iteration?</span></div><div><strong>STUDENT: </strong><span>I have taken many math classes.</span></div><div><strong>STUDENT: </strong><span>But I am not sure what you refer to by ""selection and iteration"".</span></div></body></html>","621723893-238165872-547217160-831831863"
"What about EECS183, Elementary Programming Concepts?","If you need help CAPS will help you","EECS485 is another medium-workload class I can recommend if the web development part of software interests you.","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div><div><strong>ADVISOR: </strong><span>As for requirements, do you have any left?</span></div><div><strong>STUDENT: </strong><span>Not to my knowledge.</span></div><div><strong>ADVISOR: </strong><span>Do you have a precise preference as to course selection?</span></div><div><strong>STUDENT: </strong><span>I do prefer classes with a lighter work load</span></div></body></html>","254393192-551666022-530899303-711985936"
"Then do you have an explicit preference on course selection?","Help is happy","Hi","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div><div><strong>ADVISOR: </strong><span>As for requirements, do you have any left?</span></div><div><strong>STUDENT: </strong><span>Not to my knowledge.</span></div></body></html>","804578096-728215028-614181417-790255425"
"Consider taking classes outside your major, since EECS 281 is a tough class, so you might want to balance your workload.","If 280 is concerning you, take 183 or 203 instead","EECS 388 would be my recommendation if you are interested in security and the class size is large.","<html><body><div><strong>STUDENT: </strong><span>Hello!</span></div><div><strong>ADVISOR: </strong><span>How can I help you, jasonnoh?</span></div><div><strong>STUDENT: </strong><span>Could you recommend what classes I should take next semester, I'm right now intereste in taking computer science major.</span></div><div><strong>ADVISOR: </strong><span>EECS 281 and EECS 203 are required courses for computer sicence. Have you looked into them?</span></div><div><strong>STUDENT: </strong><span>No</span></div></body></html>","195662717-340236312-632732856-982992081"
"Hello jasonnoh! How may I assist you today?","Yes, Introduction to Cryptography is EECS475.","Is it accurate to say that you are apprehensive about: course arranging, profession guidance, or other?","<html><body><div><strong>STUDENT: </strong><span>Hello!</span></div></body></html>","27464399-426413571-972014380-590423014"
"EECS 281 and EECS 203 are required courses for computer sicence. Have you looked into them?","Hello, how are you doing?","Do you know the required class for your major or an upper level elective course that you're trying to find?","<html><body><div><strong>STUDENT: </strong><span>Hello!</span></div><div><strong>ADVISOR: </strong><span>How can I help you, jasonnoh?</span></div><div><strong>STUDENT: </strong><span>Could you recommend what classes I should take next semester, I'm right now intereste in taking computer science major.</span></div></body></html>","923868782-619942173-958187114-619737942"
"Web development is a difficult course for some.","Course EECS493, which is about User Interface Design, depends on how much experience you have with it.","The Rating of Easiness is 2.23","<html><body><div><strong>STUDENT: </strong><span>Hello, Advisor Shi.</span></div><div><strong>ADVISOR: </strong><span>Hello</span></div><div><strong>ADVISOR: </strong><span>May I help you with something</span></div><div><strong>STUDENT: </strong><span>I have a keen interest in web development.</span></div><div><strong>STUDENT: </strong><span>What do you recommend?</span></div></body></html>","95806362-944702297-783732771-318537819"
"It's not showing that you have completed EECS 281 so far.","EECS485 may be too much if combined with EECS482 because of its very high workload class.","In this introductory course to computer science and programming, students will learn the basics of computing, as well as problem solving and algorithmic thinking using C++ and Python.","<html><body><div><strong>STUDENT: </strong><span>Hello</span></div><div><strong>ADVISOR: </strong><span>Hello.</span></div><div><strong>ADVISOR: </strong><span>Can I help you with anything today?</span></div><div><strong>STUDENT: </strong><span>Course selection is an area I need advising in.</span></div><div><strong>ADVISOR: </strong><span>Which courses of study are you interested in?</span></div><div><strong>STUDENT: </strong><span>Development of software interest me.</span></div></body></html>","263894005-101498993-937859008-122472076"
"What courses are of interest to you?","You get to work in a group, so the large workload for EECS482 isn't so bad.","The options for software are 281 or 376, and the options for hardware include 373, 470, or 478","<html><body><div><strong>STUDENT: </strong><span>Hello</span></div><div><strong>ADVISOR: </strong><span>Hello.</span></div><div><strong>ADVISOR: </strong><span>Can I help you with anything today?</span></div><div><strong>STUDENT: </strong><span>Course selection is an area I need advising in.</span></div></body></html>","697646810-91080190-826103872-614551189"
"For the difficult EECS 281 course, they will be getting together two times per week.","Break a leg in CS plans!","I hope you have good luck with your future CS ambitions.","<html><body><div><strong>STUDENT: </strong><span>Hello</span></div><div><strong>ADVISOR: </strong><span>Hello.</span></div><div><strong>ADVISOR: </strong><span>Can I help you with anything today?</span></div><div><strong>STUDENT: </strong><span>Course selection is an area I need advising in.</span></div><div><strong>ADVISOR: </strong><span>Which courses of study are you interested in?</span></div><div><strong>STUDENT: </strong><span>Development of software interest me.</span></div><div><strong>ADVISOR: </strong><span>You have yet to take EECS 281.</span></div><div><strong>ADVISOR: </strong><span>Software development is the topic of this core course.</span></div><div><strong>STUDENT: </strong><span>what is the title of the course</span></div><div><strong>ADVISOR: </strong><span>EECS 281 is Data Structures and Algorithms</span></div><div><strong>STUDENT: </strong><span>My preference is take a class with 100 people.</span></div><div><strong>STUDENT: </strong><span>How many people are in the class?</span></div><div><strong>ADVISOR: </strong><span>80 students are registered for the class.</span></div><div><strong>STUDENT: </strong><span>Good. The course load, how heavy is it?</span></div></body></html>","421762483-983300897-573894444-816813038"
"I would suggest taking this course if you would like to take more advanced courses in software development","How much workload do you want?","what other classes interest you?","<html><body><div><strong>STUDENT: </strong><span>Hello</span></div><div><strong>ADVISOR: </strong><span>Hello.</span></div><div><strong>ADVISOR: </strong><span>Can I help you with anything today?</span></div><div><strong>STUDENT: </strong><span>Course selection is an area I need advising in.</span></div><div><strong>ADVISOR: </strong><span>Which courses of study are you interested in?</span></div><div><strong>STUDENT: </strong><span>Development of software interest me.</span></div><div><strong>ADVISOR: </strong><span>You have yet to take EECS 281.</span></div><div><strong>ADVISOR: </strong><span>Software development is the topic of this core course.</span></div><div><strong>STUDENT: </strong><span>what is the title of the course</span></div><div><strong>ADVISOR: </strong><span>EECS 281 is Data Structures and Algorithms</span></div><div><strong>STUDENT: </strong><span>My preference is take a class with 100 people.</span></div><div><strong>STUDENT: </strong><span>How many people are in the class?</span></div><div><strong>ADVISOR: </strong><span>80 students are registered for the class.</span></div><div><strong>STUDENT: </strong><span>Good. The course load, how heavy is it?</span></div><div><strong>ADVISOR: </strong><span>EECS 281 is a pretty hard course and it meets twice weekly.</span></div><div><strong>ADVISOR: </strong><span>However, there aren't any labs.</span></div><div><strong>STUDENT: </strong><span>Do other advanced courses require it?</span></div></body></html>","302880374-581099539-698012152-377870349"
"You can  find the pre-reqs for EECS in the course catalog.","EECS183 would be the first step for considering computer science major","Break a leg!","<html><body><div><strong>ADVISOR: </strong><span>What kind of help would you like to get this day?</span></div><div><strong>STUDENT: </strong><span>I'm trying to schedule my courses for next semester and I'm wondering what I'm eligible to take.</span></div></body></html>","786917192-100597678-765997913-901773438"
"Just so you know, EECS 445 is not open to you, but you are still qualified to take EECS 545. Let me find info about discussions now.","Are you asking as regards upper level computer science credits?","You have 0 upper level classes","<html><body><div><strong>ADVISOR: </strong><span>What kind of help would you like to get this day?</span></div><div><strong>STUDENT: </strong><span>I'm trying to schedule my courses for next semester and I'm wondering what I'm eligible to take.</span></div><div><strong>ADVISOR: </strong><span>If an EECS course has a pre-requisite, it should be listed in the course catalogs, there.</span></div><div><strong>ADVISOR: </strong><span>Many classes you've qualified for relate to your degree track, what are some of your interests?</span></div><div><strong>STUDENT: </strong><span>I enjoy both machine learning, and math based courses.</span></div><div><strong>ADVISOR: </strong><span>EECS 445, 545, and 595 are some options related to your interests in machine learning.</span></div><div><strong>STUDENT: </strong><span>I would love to sleep in, do any of those meet later in the day?</span></div><div><strong>ADVISOR: </strong><span>The machining classes listed don't have class times listed.</span></div><div><strong>STUDENT: </strong><span>I can live with that. Do they have discussions?</span></div></body></html>","732834788-275555262-87442430-133333000"
"The machining classes listed don't have class times listed.","Nope nothing has to be done before 203.","Taking 484 and 481 would be my recommendation.","<html><body><div><strong>ADVISOR: </strong><span>What kind of help would you like to get this day?</span></div><div><strong>STUDENT: </strong><span>I'm trying to schedule my courses for next semester and I'm wondering what I'm eligible to take.</span></div><div><strong>ADVISOR: </strong><span>If an EECS course has a pre-requisite, it should be listed in the course catalogs, there.</span></div><div><strong>ADVISOR: </strong><span>Many classes you've qualified for relate to your degree track, what are some of your interests?</span></div><div><strong>STUDENT: </strong><span>I enjoy both machine learning, and math based courses.</span></div><div><strong>ADVISOR: </strong><span>EECS 445, 545, and 595 are some options related to your interests in machine learning.</span></div><div><strong>STUDENT: </strong><span>I would love to sleep in, do any of those meet later in the day?</span></div></body></html>","886012089-878136043-347299839-345343747"
"we can help the general society understand the importance of computer Hardware through these courses.","Nothing problem","Are you interested in majoring in Computer Science?","<html><body><div><strong>ADVISOR: </strong><span>Hi, how is everything?</span></div><div><strong>STUDENT: </strong><span>Good evening, have I come to the right spot for academic advising?</span></div><div><strong>ADVISOR: </strong><span>An advisor I am.</span></div><div><strong>STUDENT: </strong><span>Is there validity to the idea that computer hardware has a high workload?</span></div><div><strong>STUDENT: </strong><span>What courses in the Computer Hardware field do you recommend that are not very hard?</span></div><div><strong>ADVISOR: </strong><span>Hmmm.</span></div><div><strong>ADVISOR: </strong><span>Ancillary class is something you should take to see an application.</span></div><div><strong>ADVISOR: </strong><span>Take Discrete Math or Intrductory Data Structures in my opinion.</span></div><div><strong>STUDENT: </strong><span>Ok. Can you suggest something?</span></div><div><strong>STUDENT: </strong><span>Who teaches that class, it sounds interesting?</span></div></body></html>","612138511-752729444-842948093-304525497"
"I apologize, I don't know the answer to that.","My pleasure.","What sort of CS things interest you?","<html><body><div><strong>ADVISOR: </strong><span>Hi, how is everything?</span></div><div><strong>STUDENT: </strong><span>Good evening, have I come to the right spot for academic advising?</span></div><div><strong>ADVISOR: </strong><span>An advisor I am.</span></div><div><strong>STUDENT: </strong><span>Is there validity to the idea that computer hardware has a high workload?</span></div><div><strong>STUDENT: </strong><span>What courses in the Computer Hardware field do you recommend that are not very hard?</span></div><div><strong>ADVISOR: </strong><span>Hmmm.</span></div><div><strong>ADVISOR: </strong><span>Ancillary class is something you should take to see an application.</span></div><div><strong>ADVISOR: </strong><span>Take Discrete Math or Intrductory Data Structures in my opinion.</span></div><div><strong>STUDENT: </strong><span>Ok. Can you suggest something?</span></div><div><strong>STUDENT: </strong><span>Who teaches that class, it sounds interesting?</span></div><div><strong>ADVISOR: </strong><span>The importance of Computer Hardware to general society is shown by these courses.</span></div><div><strong>ADVISOR: </strong><span>Martha Pollack and also Georg Essl.</span></div><div><strong>STUDENT: </strong><span>Another question: I would like to know if Karen Gu is teaching any Mandarin Chinese course higher than level 2. Do you know?</span></div><div><strong>STUDENT: </strong><span>I have had her as an instructor before.</span></div></body></html>","518558657-61807697-430058445-185900133"
